Name,Price,Link
"Apple iPad Pro with Facetime Tablet - 9.7 Inch, 32GB, 4G LTE, Gold","10,599.00 EGP",https://egypt.souq.com/eg-en/apple-ipad-pro-with-facetime-tablet-9-7-inch-32gb-4g-lte-gold-10356658/i/
"New Apple iPad - March 2017 - 9.7 Inch Retina Display with Facetime - 32GB, WiFi, iOS 10, Space Gray","7,299.00 EGP",https://egypt.souq.com/eg-en/new-apple-ipad-march-2017-9-7-inch-retina-display-with-facetime-32gb-wifi-ios-10-space-gray-22284726/i/
"Apple iPad Pro 2017 with FaceTime - 12.9 Inch, 256GB, 4G LTE, Space Gray","23,945.00 EGP",https://egypt.souq.com/eg-en/apple-ipad-pro-2017-with-facetime-12-9-inch-256gb-4g-lte-space-gray-23092096/i/
"Apple iPad Mini 4 with Facetime Tablet - 7.9 Inch, 128GB, WiFi, Gold","8,750.00 EGP",https://egypt.souq.com/eg-en/apple-ipad-mini-4-with-facetime-tablet-7-9-inch-128gb-wifi-gold-9093493/i/
"New Apple iPad - March 2017 - 9.7 Inch Retina Display with Facetime - 128GB, WiFi, iOS 10, Silver","9,999.00 EGP",https://egypt.souq.com/eg-en/new-apple-ipad-march-2017-9-7-inch-retina-display-with-facetime-128gb-wifi-ios-10-silver-22284727/i/
"Apple iPad Mini 4 with Facetime Tablet - 7.9 Inch, 128GB, WiFi, Silver","8,999.00 EGP",https://egypt.souq.com/eg-en/apple-ipad-mini-4-with-facetime-tablet-7-9-inch-128gb-wifi-silver-9093288/i/
"Apple iPad Pro 2017 with FaceTime - 10.5 Inch, 64GB, 4G LTE, Space Gray","14,997.00 EGP",https://egypt.souq.com/eg-en/apple-ipad-pro-2017-with-facetime-10-5-inch-64gb-4g-lte-space-gray-23092107/i/
"Apple iPad Pro 2017 with FaceTime - 10.5 Inch, 64GB, 4G LTE, Silver","14,958.00 EGP",https://egypt.souq.com/eg-en/apple-ipad-pro-2017-with-facetime-10-5-inch-64gb-4g-lte-silver-23092030/i/
"New Apple iPad - March 2017 - 9.7 Inch Retina Dsiplay with Facetime - 32GB, WiFi, iOS 10, Gold","6,975.00 EGP",https://egypt.souq.com/eg-en/new-apple-ipad-march-2017-9-7-inch-retina-dsiplay-with-facetime-32gb-wifi-ios-10-gold-22284708/i/
"Apple iPad Pro with Facetime Tablet - 9.7 Inch, 256GB, WiFi, Gold","15,999.00 EGP",https://egypt.souq.com/eg-en/apple-ipad-pro-with-facetime-tablet-9-7-inch-256gb-wifi-gold-10356647/i/
